ID	Time	Envelop	Features	actual_distance	actual_height	hazard	surface	movement	filename
482	25.793,25.841,25.889,25.938,25.986,26.034,26.082,26.13,26.178,26.226,26.274,26.322,26.37,26.418,26.466,26.514,26.562,26.61,26.658,26.706,26.754,26.802,26.85,26.898,26.946,26.994,27.042,27.09,27.138,27.186,27.234,27.282,27.33,27.378,27.426,27.474,27.522,27.57,27.618,27.666	52.0,52.0,52.0,52.0,53.0,56.0,61.0,67.0,72.0,74.0,73.0,71.0,67.0,64.0,61.0,59.0,56.0,55.0,54.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0	74.0,7.056,0.192,0.624,0.0	4.0	10.0	0	0	1	20160317-105921-4m-curb10-move10.json
483	26.408,26.456,26.504,26.552,26.6,26.648,26.696,26.744,26.792,26.84,26.888,26.936,26.984,27.032,27.08,27.128,27.176,27.224,27.272,27.32,27.368,27.416,27.464,27.512,27.56,27.608,27.656,27.704,27.752,27.8,27.848,27.896,27.944,27.992,28.04,28.088,28.136,28.184,28.232,28.28	53.0,53.0,53.0,53.0,54.0,57.0,63.0,72.0,81.0,87.0,88.0,87.0,83.0,77.0,72.0,67.0,62.0,59.0,56.0,55.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	88.0,13.464,0.24,0.72,0.333333333333	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
484	26.456,26.504,26.552,26.6,26.648,26.696,26.744,26.792,26.84,26.888,26.936,26.984,27.032,27.08,27.128,27.176,27.224,27.272,27.32,27.368,27.416,27.464,27.512,27.56,27.608,27.656,27.704,27.752,27.8,27.848,27.896,27.944,27.992,28.04,28.088,28.136,28.184,28.232,28.28,28.328	53.0,53.0,53.0,53.0,54.0,56.0,60.0,63.0,66.0,67.0,66.0,65.0,63.0,60.0,58.0,56.0,55.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0	67.0,4.56,0.192,0.528,0.333333333333	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
485	26.218,26.266,26.314,26.362,26.41,26.458,26.506,26.554,26.602,26.65,26.698,26.746,26.794,26.842,26.89,26.938,26.986,27.034,27.082,27.13,27.178,27.226,27.274,27.322,27.37,27.418,27.466,27.514,27.562,27.61,27.658,27.706,27.754,27.802,27.85,27.898,27.946,27.994,28.042,28.09	53.0,53.0,53.0,53.0,53.0,54.0,60.0,72.0,87.0,99.0,107.0,110.0,109.0,104.0,97.0,88.0,79.0,71.0,65.0,60.0,58.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	110.0,23.328,0.288,0.96,0.5	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
486	26.268,26.316,26.364,26.412,26.46,26.508,26.556,26.604,26.652,26.7,26.748,26.796,26.844,26.892,26.94,26.988,27.036,27.084,27.132,27.18,27.228,27.276,27.324,27.372,27.42,27.468,27.516,27.564,27.612,27.66,27.708,27.756,27.804,27.852,27.9,27.948,27.996,28.044,28.092,28.14	53.0,53.0,53.0,53.0,53.0,55.0,58.0,64.0,71.0,76.0,79.0,78.0,76.0,72.0,68.0,63.0,60.0,57.0,55.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	79.0,9.192,0.24,0.672,0.0	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
487	25.932,25.98,26.028,26.076,26.124,26.172,26.22,26.268,26.316,26.364,26.412,26.46,26.508,26.556,26.604,26.652,26.7,26.748,26.796,26.844,26.892,26.94,26.988,27.036,27.084,27.132,27.18,27.228,27.276,27.324,27.372,27.42,27.468,27.516,27.564,27.612,27.66,27.708,27.756,27.804	52.0,52.0,52.0,53.0,53.0,56.0,61.0,70.0,78.0,83.0,85.0,84.0,80.0,75.0,70.0,65.0,61.0,57.0,55.0,55.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	85.0,10.896,0.24,0.672,0.5	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
488	25.882,25.93,25.978,26.026,26.074,26.122,26.17,26.218,26.266,26.314,26.362,26.41,26.458,26.506,26.554,26.602,26.65,26.698,26.746,26.794,26.842,26.89,26.938,26.986,27.034,27.082,27.13,27.178,27.226,27.274,27.322,27.37,27.418,27.466,27.514,27.562,27.61,27.658,27.706,27.754	53.0,53.0,53.0,53.0,53.0,55.0,60.0,66.0,71.0,75.0,76.0,74.0,72.0,68.0,64.0,61.0,58.0,56.0,55.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0	76.0,8.232,0.24,0.624,0.333333333333	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
489	25.742,25.79,25.838,25.886,25.934,25.982,26.03,26.078,26.126,26.174,26.222,26.27,26.318,26.366,26.414,26.462,26.51,26.558,26.606,26.654,26.702,26.75,26.798,26.846,26.894,26.942,26.99,27.038,27.086,27.134,27.182,27.23,27.278,27.326,27.374,27.422,27.47,27.518,27.566,27.614	52.0,52.0,52.0,52.0,54.0,57.0,62.0,68.0,75.0,78.0,79.0,78.0,75.0,71.0,66.0,62.0,58.0,56.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0	79.0,8.832,0.24,0.624,0.333333333333	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
490	25.694,25.742,25.79,25.838,25.886,25.934,25.982,26.03,26.078,26.126,26.174,26.222,26.27,26.318,26.366,26.414,26.462,26.51,26.558,26.606,26.654,26.702,26.75,26.798,26.846,26.894,26.942,26.99,27.038,27.086,27.134,27.182,27.23,27.278,27.326,27.374,27.422,27.47,27.518,27.566	52.0,52.0,52.0,52.0,53.0,56.0,61.0,69.0,77.0,82.0,84.0,82.0,78.0,73.0,68.0,63.0,59.0,56.0,55.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0	84.0,10.992,0.24,0.672,0.0	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
491	25.694,25.742,25.79,25.838,25.886,25.934,25.982,26.03,26.078,26.126,26.174,26.222,26.27,26.318,26.366,26.414,26.462,26.51,26.558,26.606,26.654,26.702,26.75,26.798,26.846,26.894,26.942,26.99,27.038,27.086,27.134,27.182,27.23,27.278,27.326,27.374,27.422,27.47,27.518,27.566	52.0,52.0,52.0,52.0,53.0,56.0,63.0,72.0,80.0,86.0,88.0,86.0,82.0,76.0,70.0,65.0,60.0,57.0,55.0,55.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0	88.0,11.832,0.24,0.672,0.5	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
492	25.599,25.647,25.695,25.743,25.791,25.839,25.887,25.935,25.983,26.031,26.079,26.127,26.175,26.223,26.271,26.319,26.367,26.415,26.463,26.511,26.559,26.607,26.655,26.703,26.751,26.799,26.847,26.895,26.943,26.991,27.039,27.087,27.135,27.183,27.231,27.279,27.327,27.375,27.423,27.471	53.0,53.0,53.0,53.0,53.0,54.0,59.0,66.0,75.0,84.0,89.0,90.0,87.0,82.0,76.0,70.0,65.0,61.0,58.0,56.0,55.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0	90.0,14.688,0.288,0.72,0.333333333333	4.0	5.0	0	0	1	20160317-104045-4m-curb5-move10.json
