ID	Time	Envelop	Features	actual_distance	actual_height	hazard	surface	movement	filename
103	26.649,26.697,26.745,26.793,26.841,26.889,26.937,26.985,27.033,27.081,27.129,27.177,27.225,27.273,27.321,27.369,27.417,27.465,27.513,27.561,27.609,27.657,27.705,27.753,27.801,27.849,27.897,27.945,27.993,28.041,28.089,28.137,28.185,28.233,28.281,28.329,28.377,28.425,28.473,28.521	54.0,54.0,54.0,54.0,54.0,56.0,64.0,76.0,90.0,101.0,107.0,111.0,111.0,108.0,104.0,97.0,89.0,80.0,72.0,67.0,64.0,62.0,60.0,59.0,57.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	111.0,31.008,0.336,1.296,0.466515323496	4.0	15.0	0	0	1	20160317-111218-4m-curb15-move10.json
104	26.604,26.652,26.7,26.748,26.796,26.844,26.892,26.94,26.988,27.036,27.084,27.132,27.18,27.228,27.276,27.325,27.373,27.421,27.469,27.517,27.565,27.613,27.661,27.709,27.757,27.805,27.853,27.901,27.949,27.997,28.045,28.093,28.141,28.189,28.237,28.285,28.333,28.381,28.429,28.477	54.0,54.0,54.0,54.0,54.0,58.0,71.0,89.0,105.0,117.0,124.0,127.0,128.0,126.0,122.0,115.0,105.0,94.0,82.0,73.0,66.0,63.0,61.0,60.0,59.0,58.0,57.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	128.0,40.67,0.336,1.201,0.475368207212	4.0	15.0	0	0	1	20160317-111218-4m-curb15-move10.json
105	26.604,26.652,26.7,26.748,26.797,26.845,26.893,26.941,26.989,27.037,27.085,27.133,27.181,27.229,27.277,27.325,27.373,27.422,27.47,27.518,27.566,27.614,27.662,27.71,27.758,27.806,27.854,27.902,27.95,27.998,28.046,28.094,28.142,28.19,28.238,28.286,28.334,28.382,28.43,28.478	54.0,54.0,54.0,54.0,54.0,55.0,65.0,84.0,101.0,114.0,123.0,127.0,128.0,126.0,123.0,116.0,106.0,94.0,82.0,72.0,67.0,65.0,63.0,62.0,61.0,59.0,58.0,57.0,56.0,56.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	128.0,41.99,0.336,1.297,0.428717250766	4.0	15.0	0	0	1	20160317-111218-4m-curb15-move10.json
106	26.603,26.651,26.699,26.747,26.795,26.843,26.891,26.939,26.987,27.035,27.083,27.131,27.179,27.227,27.275,27.323,27.371,27.419,27.467,27.515,27.563,27.611,27.659,27.707,27.755,27.803,27.851,27.899,27.947,27.995,28.043,28.091,28.139,28.187,28.235,28.283,28.331,28.379,28.427,28.475	54.0,54.0,54.0,54.0,54.0,56.0,60.0,67.0,74.0,80.0,84.0,85.0,83.0,79.0,74.0,69.0,64.0,60.0,57.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	85.0,11.808,0.288,0.864,0.673469387755	4.0	15.0	0	0	1	20160317-111218-4m-curb15-move10.json
107	26.602,26.65,26.698,26.746,26.794,26.842,26.89,26.938,26.986,27.034,27.082,27.13,27.178,27.226,27.274,27.322,27.37,27.418,27.466,27.514,27.562,27.61,27.658,27.706,27.754,27.802,27.85,27.898,27.946,27.994,28.042,28.09,28.138,28.186,28.234,28.282,28.33,28.378,28.426,28.474	54.0,54.0,54.0,54.0,55.0,57.0,63.0,73.0,83.0,91.0,93.0,92.0,87.0,81.0,74.0,67.0,64.0,63.0,63.0,62.0,60.0,58.0,57.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	93.0,14.832,0.24,0.96,0.514705882353	4.0	15.0	0	0	1	20160317-111218-4m-curb15-move10.json
108	26.506,26.554,26.602,26.65,26.698,26.746,26.794,26.842,26.89,26.938,26.986,27.034,27.082,27.13,27.178,27.226,27.274,27.322,27.37,27.418,27.466,27.514,27.562,27.61,27.658,27.706,27.754,27.802,27.85,27.898,27.946,27.994,28.042,28.09,28.138,28.186,28.234,28.282,28.33,28.378	54.0,54.0,54.0,54.0,55.0,57.0,61.0,67.0,72.0,75.0,76.0,76.0,74.0,70.0,66.0,62.0,59.0,57.0,57.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	76.0,8.184,0.288,0.864,0.757731958763	4.0	15.0	0	0	1	20160317-111218-4m-curb15-move10.json
109	26.554,26.602,26.65,26.698,26.746,26.794,26.842,26.89,26.938,26.986,27.034,27.082,27.13,27.178,27.226,27.274,27.322,27.37,27.418,27.466,27.514,27.562,27.61,27.658,27.706,27.754,27.802,27.85,27.898,27.946,27.994,28.042,28.09,28.138,28.186,28.234,28.282,28.33,28.378,28.426	54.0,54.0,54.0,54.0,54.0,55.0,59.0,69.0,85.0,100.0,111.0,117.0,118.0,117.0,113.0,105.0,96.0,86.0,77.0,69.0,63.0,60.0,59.0,59.0,58.0,57.0,56.0,56.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	118.0,28.392,0.336,1.104,0.625	4.0	15.0	0	0	1	20160317-111218-4m-curb15-move10.json
110	25.846,25.894,25.942,25.99,26.038,26.086,26.134,26.182,26.23,26.278,26.326,26.374,26.422,26.47,26.518,26.566,26.614,26.662,26.71,26.758,26.806,26.854,26.902,26.95,26.998,27.046,27.094,27.142,27.19,27.238,27.286,27.334,27.382,27.43,27.478,27.526,27.574,27.622,27.67,27.718	54.0,54.0,54.0,54.0,55.0,58.0,68.0,81.0,93.0,102.0,105.0,104.0,98.0,89.0,79.0,71.0,65.0,62.0,61.0,61.0,60.0,59.0,58.0,58.0,57.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0	105.0,19.56,0.24,1.152,0.509259259259	4.0	15.0	0	0	1	20160317-112727-4m-curb15-move10.json
111	25.893,25.941,25.989,26.037,26.085,26.133,26.181,26.229,26.277,26.325,26.373,26.421,26.469,26.517,26.565,26.613,26.661,26.709,26.757,26.805,26.853,26.901,26.949,26.997,27.045,27.093,27.141,27.189,27.237,27.285,27.333,27.381,27.429,27.477,27.525,27.573,27.621,27.669,27.717,27.765	54.0,54.0,54.0,54.0,55.0,57.0,64.0,74.0,86.0,94.0,99.0,100.0,96.0,90.0,82.0,74.0,67.0,62.0,59.0,58.0,57.0,57.0,57.0,56.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0	100.0,18.216,0.288,1.104,0.632258064516	4.0	15.0	0	0	1	20160317-112727-4m-curb15-move10.json
112	26.134,26.182,26.23,26.278,26.326,26.374,26.422,26.47,26.518,26.566,26.614,26.662,26.71,26.758,26.806,26.854,26.902,26.95,26.998,27.046,27.094,27.142,27.19,27.238,27.286,27.334,27.382,27.43,27.478,27.526,27.574,27.622,27.67,27.718,27.766,27.814,27.862,27.91,27.958,28.006	54.0,54.0,54.0,54.0,55.0,57.0,63.0,77.0,92.0,105.0,113.0,118.0,119.0,118.0,112.0,103.0,92.0,81.0,73.0,70.0,68.0,67.0,65.0,63.0,61.0,59.0,58.0,57.0,56.0,56.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,55.0,54.0,54.0	119.0,37.32,0.336,1.344,0.441149212234	4.0	15.0	0	0	1	20160317-112727-4m-curb15-move10.json
